pitch,roll,yaw,gyrox,gyroy,gyroz,accz,accx,accy,secayo,messageIndex
2.14,5.9,22.53,-12.71,0.62,7.09,0.97,-0.01,0.02,0,0
1.48,-1.36,24.83,2.78,7.01,6.92,1.03,0,-0.05,0,1
2.53,-0.43,26.62,-3.7,-0.41,6.98,0.99,-0.02,0.01,0,2
2.56,-1.16,28.56,-2.2,0.42,7.78,1.01,-0.03,-0.01,0,3
3.62,-1.15,30.24,-0.51,2.26,5.24,1.01,-0.04,-0.02,0,4
2.92,-0.83,32.1,-7.03,9.52,9.94,1.04,-0.05,-0.03,0,5
2.94,-0.92,33.41,-3.48,3.65,5.75,1,-0.03,-0.02,0,6
2.13,-0.8,34.97,-1.84,4.05,6.89,1.02,-0.04,0,0,7
1.96,-0.84,36.62,-5.3,5.03,8.37,1.01,-0.02,-0.02,0,8
2.73,-0.79,38.49,-3.79,0.81,7.21,1.02,-0.05,0,0,9
1.32,-0.9,40.2,-5.84,11.97,6.88,1,0,-0.01,0,10
2.87,-1,41.46,-1.3,10.52,4.89,1.02,-0.06,0,0,11
3.57,-1.8,42.91,2.26,0.16,1.85,1.06,-0.04,-0.02,0,12
6.12,0.05,43.39,8.32,30.8,-1.69,0.91,-0.05,0.01,0,13
7.32,-0.07,42.1,-13.04,41,-12.25,1.06,-0.06,0.11,0,14
-2.43,2.84,35.06,0.35,48.72,-34.45,0.96,0.24,0.14,0,15
-4.19,0.29,32.75,21.03,52.28,13.59,0.94,0.11,-0.04,0,16
10.92,4.92,41.22,-5.33,11.26,13.72,0.77,-0.49,0.61,0,17
20.01,2.09,39.68,-6.43,54.42,-5.41,0.93,-0.36,0.05,0,18
-2.09,-9.52,37.21,-37.13,-37.75,-6.39,0.75,0.31,-0.41,0,19
-7.99,10.15,42.12,5.31,-1.26,18.23,0.92,0.03,0.38,0,20
-5.34,2.29,45.45,11.66,41.58,22.11,0.92,0.03,-0.06,0,21
4.56,4.29,50.13,-15.88,61.62,-21.75,0.76,0.03,0.04,0,22
24.09,1.49,50.89,42.45,42.55,7.12,0.97,-0.45,0.1,0,23
-5.44,-18.5,51.09,-22.84,-56.7,44.57,0.79,0.2,-0.13,0,24
-18.78,11.27,58.83,8.41,-17.77,22.26,0.9,0.11,0.35,0,25
2.52,-6.89,62.84,8.09,3.07,14.46,0.64,-0.01,-0.24,0,26
20.26,-5.92,64.62,4.06,54.22,-6.32,0.97,-0.38,-0.02,0,27
19.58,3.26,60.88,2.3,-15.14,-4.32,0.94,-0.25,0.03,0,28
7.29,-9.25,59.13,-3.27,-136.61,13.47,1.09,-0.36,0.03,0,29
-17.57,7.11,62.9,-13.74,-41.93,24.02,0.92,0.33,0.12,0,30
0.42,-17.61,71.52,39.11,162.66,64.37,1.01,-0.11,0.23,0,31
22.06,0.78,75.24,-29.85,41.79,9.78,1.18,-0.38,0.08,0,32
6.09,-14.21,73.17,-59.21,3.43,-14.33,1.3,0.11,-0.65,0,33
-3.64,5.09,74.48,16.62,31.81,16.48,1.19,-0.06,0.3,0,34
9.07,0.65,76.91,-37.42,75.91,14.72,1.22,-0.24,-0.21,0,35
8.17,-2.08,80.25,5.46,169.38,31.21,1.24,-0.4,-0.09,0,36
20.47,3.81,81.33,-4.26,-21.41,-4.7,1.16,-0.36,0.18,0,37
10.73,-2.76,81.12,-37.99,-192.7,-25.23,1.18,-0.13,-0.09,0,38
3.49,7.2,82.38,-9.85,33.27,1.07,1.13,-0.11,0.1,0,39
8.48,-16.72,84.88,70.23,166.88,51.72,0.98,-0.33,0.02,0,40
24.72,-0.12,85.41,5.22,93.73,-2.36,1.09,-0.4,-0.08,0,41
3.3,-16.91,81.26,-62.16,-60.71,-23.54,0.68,0.33,-0.7,0,42
0.26,1.78,85.82,0.53,-7.12,17.2,0.95,-0.11,0.16,0,43
6.55,1.92,84.92,-20.84,102.66,-3.69,0.96,0.06,-0.01,0,44
10.59,-0.14,83.16,-13.27,130.28,-22.06,0.79,-0.11,0.05,0,45
28.48,-0.85,78.63,3.36,55.62,-13.17,0.92,-0.43,0.02,0,46
14.42,-9.3,78.71,-32.86,85.59,23.87,1.26,-0.68,0.16,0,47
4.26,0.53,76.38,-11.16,51.15,-5.05,0.95,0.06,0.06,0,48
6.43,-15.75,74.3,29.25,74.55,-9.17,0.54,0.33,-0.55,0,49
19.52,0.67,73.33,-20.49,115.52,-13.8,1.02,-0.31,0.1,0,50
15.28,-6.94,69.67,-38.81,-65.99,-51.26,0.7,0.18,-0.23,0,51
-13.39,-0.16,70.16,-21.79,4.4,-4.19,0.72,0.63,-0.03,0,52
-1.34,3.24,71.87,-6.39,24.57,5.65,0.96,0.13,-0.02,0,53
-3.36,6.02,78.58,-7.82,87.67,-4.07,0.75,0.08,0.05,0,54
15.67,-0.17,77.35,-12.31,15.17,6.49,1.08,-0.34,-0.02,0,55
8.88,-10.4,78.24,26.53,-98.12,2.62,1.32,-0.54,0.02,0,56
-13.94,8.52,79.52,0.27,-0.25,8.42,1.06,0.13,0.2,0,57
0.1,-11.82,82.79,31.02,133.64,61.84,1.08,-0.31,0.15,0,58
13.04,3.38,85.8,-2.13,22.95,3.44,1.19,-0.42,-0.1,0,59
-8.69,-15.28,84.28,-1.76,5.01,3.84,0.97,0.36,-0.18,0,60
-11.17,4.11,84.19,7.17,-18.76,19.99,1.18,0.05,0.3,0,61
-1.03,-7,89.2,-26.75,-51.32,24.68,1.05,0.14,-0.45,0,62
3.3,0.87,94.09,6.82,42.48,11.85,1.06,-0.03,0.14,0,63
6.46,2.4,95.79,-38.6,-35.41,-23.98,0.97,0.11,-0.13,0,64
-11.68,1,95.15,26.15,-43.61,4.68,1.04,0.1,0.11,0,65
-5.61,7.25,95.85,-25.9,9.03,1.91,1.14,0.21,-0.02,0,66
9.97,-0.7,98.73,-10.39,146.71,8.46,1.22,-0.27,-0.08,0,67
19.7,5.3,101.74,-3.59,-1.63,-2.39,1.13,-0.34,0.06,0,68
-1.96,-1.67,99.98,13.6,-181.11,0.59,0.88,0.34,0.15,0,69
0.04,5.84,103.13,4.71,6.69,12.07,1.16,-0.12,0.14,0,70
-0.27,2.62,105.88,-34.97,45,-30.07,0.64,0.27,-0.03,0,71
18.54,2.45,104.13,-15.24,28.72,-1.09,1.05,-0.25,0,0,72
6.71,-9.87,104.19,-2.87,-47.32,15.38,1.36,-0.43,0.05,0,73
-13.08,6.62,107.83,-2.92,-9.31,16.84,1.08,0.24,0.15,0,74
-0.98,-15.04,110.06,57.4,68.39,40.16,0.82,0.07,-0.15,0,75
12.69,5.57,113.18,12.61,-2.41,-25.32,1.1,-0.23,0.04,0,76
1.4,-5.99,110.9,-35.36,-80.91,-36.47,0.84,0.16,-0.47,0,77
-21.87,2.2,111.32,30.71,-27.75,23.21,1.05,0.13,0.12,0,78
-8.29,4.8,114.25,-2.1,-8.01,-3.48,1.18,0.08,-0.15,0,79
1.59,3.39,119.47,10.35,84.08,-19.74,0.98,-0.14,0.06,0,80
15.53,0.58,119.9,0.94,0.33,8.65,1.12,-0.36,0.03,0,81
5.8,-10.04,119.29,21.52,-71.81,22.75,1.37,-0.6,0.04,0,82
-15.68,6.94,121.02,12.44,-16.35,19.38,1.03,0.25,0.21,0,83
-5.9,-13.26,123.07,6.58,29.76,24.95,0.6,0.42,-0.48,0,84
11.24,-1.76,128.63,4.93,6.02,28.45,1.13,-0.33,0.09,0,85
3.39,2.83,131.92,-29.13,-109.32,-16.54,0.91,0,-0.08,0,86
-19.14,-0.29,129.99,22.23,-260.28,-30.28,0.86,0.96,-0.09,0,87
-17.56,10.9,131.56,0.7,-15.54,6.43,1.13,0.21,0.26,0,88
5.25,6.22,138.96,-5.16,-60.53,23.36,0.97,0.07,0.47,0,89
4.66,-0.21,142.21,-4.2,-49.95,10.86,1.23,-0.29,-0.06,0,90
-32.18,-4.08,140.05,70.94,-96.83,17.58,1.23,0.21,0.03,0,91
-33.21,4.92,147.68,40.68,-65.98,35.06,1.16,0.11,-0.09,0,92
-8.09,12.58,156.43,-13.21,-15.03,8.51,0.71,0,0.25,0,93
7.82,7.37,160.01,-0.13,-48.33,12.45,0.87,-0.1,0.07,0,94
-2.92,-15.64,159.36,21.43,26.22,12.71,1.16,-0.33,-0.42,1,95
-14.15,6.85,161.84,3.36,-57.89,-0.39,0.95,0.27,0.07,1,96
-5.14,-17.79,162.69,109.17,130.05,39.61,0.63,0.02,-0.67,1,97
14.23,22.46,163.67,-38.2,88.34,-7.14,0.77,-0.16,0.34,1,98
11.93,1.07,163,-17.01,-113.54,-64.1,1.37,-0.15,-0.09,1,99
-27.63,11.01,135.77,60.16,-206.67,-199.4,0,1.68,-0.77,1,100
-22.03,85.33,95.01,75.03,104.66,-387.46,-0.99,0.98,1.98,1,101
15.74,72.06,83.28,105.11,-58.54,58.07,0.32,-0.9,2.05,1,102
10.09,73.54,79.23,-1.91,5.44,-4.42,0.34,-0.41,1.79,1,103
-7.72,67.75,84.31,-75.59,-88.61,49.58,0.48,0.2,1.42,1,104
-19.28,54.62,86.63,75.25,-154.53,25.09,0.57,0.53,1.1,1,105
-22.41,58.41,88.45,46.29,20.68,32.11,1.01,0.87,1.64,1,106
-17.72,58.53,92.39,-26.46,14.05,29.91,0.99,0.7,1.63,1,107
-19.87,54.77,104.04,78.42,95.44,66.16,0.85,0.28,1.66,1,108
-18.27,47.97,110.88,-49.73,159.61,-17.55,0.71,0.67,1,1,109
10.23,57.71,94.98,-20.55,90.74,-54.76,0.29,-0.21,1.1,1,110
